name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
"New York City, NY",2021-09-07T00:00:00,61.4,61.4,54.9,79.24,0,,,0,0,24.8,9.7,356,1007.6,93.9,9.9,,,0,,Overcast
"New York City, NY",2021-09-07T01:00:00,59.6,59.6,55.1,85.01,0,,,0,0,20.1,11.3,350,1007.3,88.1,9.2,,,0,,Partially cloudy
"New York City, NY",2021-09-07T02:00:00,58.6,58.6,55.3,88.61,0,,,0,0,23.2,13,355,1007.1,66.7,7.5,,,0,,Partially cloudy
"New York City, NY",2021-09-07T03:00:00,58.7,58.7,54.7,86.41,0.01,,,0,0,,4.9,360,1007.1,69.3,9.9,,,0,,"Rain, Partially cloudy"
"New York City, NY",2021-09-07T04:00:00,58.5,58.5,54.8,87.36,0,,,0,0,,9,355,1007.1,68.9,9.9,,,0,,Partially cloudy
"New York City, NY",2021-09-07T05:00:00,57.8,57.8,53.8,86.59,0,,,0,0,,8.2,336,1007.4,29,9.9,,,0,,Partially cloudy
"New York City, NY",2021-09-07T06:00:00,57.8,57.8,52.9,83.74,0,,,0,0,,8.3,330,1008.1,10.5,9.9,,,0,,Clear
"New York City, NY",2021-09-07T07:00:00,56.8,56.8,52.8,86.24,0,,,0,0,,7.4,338,1009,10.5,9.9,14,0.1,0,,Clear
"New York City, NY",2021-09-07T08:00:00,57.6,57.6,51.9,81.19,0,,,0,0,,13.4,338,1009.3,10.5,9.9,30,0.1,0,,Clear
"New York City, NY",2021-09-07T09:00:00,59.9,59.9,51.7,74.39,0,,,0,0,,4.8,355,1009.7,10.5,9.9,242,0.9,2,,Clear
"New York City, NY",2021-09-07T10:00:00,63.4,63.4,51,64.19,0,,,0,0,,7.8,312,1009.9,6.1,9.9,478,1.7,5,,Clear
"New York City, NY",2021-09-07T11:00:00,66.1,66.1,50.5,57.11,0,,,0,0,20.8,8.4,302,1009.8,10.5,9.9,675,2.4,7,,Clear
"New York City, NY",2021-09-07T12:00:00,70.6,70.6,52.6,53.05,0,,,0,0,21.9,6.6,304,1009.5,10.5,9.9,801,2.9,8,,Clear
"New York City, NY",2021-09-07T13:00:00,72.7,72.7,50.3,45.29,0,,,0,0,23,12.2,326,1009.5,15.6,9.9,881,3.2,9,,Clear
"New York City, NY",2021-09-07T14:00:00,72.2,72.2,51.5,48.05,0,,,0,0,25.3,10.7,302,1009.2,85.2,9.9,503,1.8,5,,Partially cloudy
"New York City, NY",2021-09-07T15:00:00,73.8,73.8,52.1,46.53,0,,,0,0,24.2,8.4,300,1008.8,91.4,9.9,417,1.5,4,,Overcast
"New York City, NY",2021-09-07T16:00:00,75,75,50.2,41.74,0,,,0,0,24.4,12.8,310,1009.3,95.7,9.9,607,2.2,6,,Overcast
"New York City, NY",2021-09-07T17:00:00,75.1,75.1,52.2,44.86,0,,,0,0,18.3,11.3,286,1009.4,56,9.9,322,1.2,3,,Partially cloudy
